Thickness,eta (%)                      ,Voc (V)                      ,Jsc (mA/cm2)                 ,FF (%)                       ,V_MPP (V)                    ,J_MPP (mA/cm2)               
2.00E-01,1.42E+01,8.01E-01,2.41E+01,7.34E+01,6.68E-01,2.12E+01
2.44E-01,1.48E+01,7.98E-01,2.60E+01,7.14E+01,6.61E-01,2.24E+01
2.89E-01,1.52E+01,8.00E-01,2.73E+01,6.96E+01,6.58E-01,2.31E+01
3.33E-01,1.55E+01,8.04E-01,2.82E+01,6.81E+01,6.58E-01,2.35E+01
3.78E-01,1.57E+01,8.08E-01,2.89E+01,6.71E+01,6.61E-01,2.37E+01
4.22E-01,1.58E+01,8.10E-01,2.93E+01,6.66E+01,6.64E-01,2.38E+01
4.67E-01,1.60E+01,8.12E-01,2.96E+01,6.64E+01,6.66E-01,2.39E+01
5.11E-01,1.61E+01,8.13E-01,2.98E+01,6.63E+01,6.68E-01,2.40E+01
5.56E-01,1.61E+01,8.13E-01,2.99E+01,6.63E+01,6.68E-01,2.41E+01
6.00E-01,1.62E+01,8.13E-01,2.99E+01,6.64E+01,6.68E-01,2.42E+01
6.44E-01,1.62E+01,8.13E-01,3.00E+01,6.64E+01,6.68E-01,2.42E+01
6.89E-01,1.62E+01,8.13E-01,3.00E+01,6.64E+01,6.68E-01,2.43E+01
7.33E-01,1.62E+01,8.13E-01,3.00E+01,6.64E+01,6.68E-01,2.43E+01
7.78E-01,1.62E+01,8.13E-01,3.01E+01,6.63E+01,6.68E-01,2.43E+01
8.22E-01,1.62E+01,8.13E-01,3.01E+01,6.63E+01,6.68E-01,2.43E+01
8.67E-01,1.62E+01,8.13E-01,3.01E+01,6.63E+01,6.68E-01,2.43E+01
9.11E-01,1.62E+01,8.14E-01,3.01E+01,6.63E+01,6.68E-01,2.43E+01
9.56E-01,1.62E+01,8.14E-01,3.01E+01,6.62E+01,6.68E-01,2.43E+01
1.00E+00,1.62E+01,8.14E-01,3.01E+01,6.62E+01,6.67E-01,2.43E+01
1.04E+00,1.62E+01,8.14E-01,3.01E+01,6.62E+01,6.67E-01,2.43E+01
1.09E+00,1.62E+01,8.14E-01,3.01E+01,6.62E+01,6.67E-01,2.43E+01
1.13E+00,1.62E+01,8.14E-01,3.01E+01,6.62E+01,6.67E-01,2.43E+01
1.18E+00,1.62E+01,8.14E-01,3.01E+01,6.62E+01,6.67E-01,2.43E+01
1.22E+00,1.62E+01,8.14E-01,3.01E+01,6.62E+01,6.67E-01,2.43E+01
1.27E+00,1.62E+01,8.14E-01,3.01E+01,6.61E+01,6.67E-01,2.43E+01
1.31E+00,1.62E+01,8.14E-01,3.01E+01,6.61E+01,6.67E-01,2.43E+01
1.36E+00,1.62E+01,8.14E-01,3.01E+01,6.61E+01,6.67E-01,2.43E+01
1.40E+00,1.62E+01,8.14E-01,3.01E+01,6.61E+01,6.67E-01,2.43E+01
